Straße;Hausnr;PLZ;Ort;Preis;Wohnfläche;Grundstücksfläche;Zimmer;Typ;Baujahr;Beschreibung;Provision;Energieausweis-Klasse;Energieverbrauch;Kontakt Name;Kontakt Telefon;Kontakt E-Mail;Exposé-Nr;Notizen;Status
Turmdamm;99;18430;Rostock;295.000,00;48;;2,5;wohnung;2008;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;2,38% inkl. MwSt.;G;243;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-4851;;verfuegbar
Tannenplatz;8;24447;Kiel;370.000,00;103;270;7,5;haus;1915;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;Auf Anfrage;G;222;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-1014;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Spreedamm;107;68702;Mannheim;415.000,00;162;1170;6,5;haus;2001;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;Auf Anfrage;F;171;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-7357;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verkauft
Burgallee;65;44152;Dortmund;235.000,00;;360;;grundstueck;;Bauland in Neubaugebiet mit allen Anschlüssen, sofort bebaubar.;Auf Anfrage;;;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-5658;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;reserviert
Burgring;27;50528;Köln;600.000,00;97;;1;wohnung;1964;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;3,57% inkl. MwSt.;F;162;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-5825;Garagenstellplatz separat zu erwerben (15.000 €).;reserviert
Moorgasse;25a;70434;Stuttgart;2.335.000,00;387;510;;gewerbe;2023;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;Provisionsfrei;B;56;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-2532;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Bachallee;69;04717;Leipzig;285.000,00;120;1010;7;haus;1982;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;Auf Anfrage;H;273;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-9446;;reserviert
Ahornring;3;18150;Rostock;250.000,00;153;;3,5;wohnung;1995;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Auf Anfrage;E;135;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-0453;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Neckarpfad;23;69489;Heidelberg;1.485.000,00;293;780;7,5;haus;1910;Zweifamilienhaus mit separaten Eingängen, ideal zur Kapitalanlage.;4,76% inkl. MwSt.;B;63;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-1222;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Kaiserpfad;48;76431;Karlsruhe;965.000,00;150;830;5;haus;1982;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;Provisionsfrei;H;345;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-8620;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;reserviert
Heidepfad;103;50272;Köln;2.120.000,00;646;930;;gewerbe;1986;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;2,38% inkl. MwSt.;G;208;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-7353;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Isarring;34;01251;Dresden;205.000,00;;500;;grundstueck;;Bauland in Neubaugebiet mit allen Anschlüssen, sofort bebaubar.;2,38% inkl. MwSt.;;;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-9620;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Bachdamm;27;86959;Augsburg;635.000,00;174;1070;4;haus;1906;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;3,57% inkl. MwSt.;D;129;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-3703;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verkauft
Waldpfad;32a;28476;Bremen;270.000,00;151;;1,5;wohnung;2012;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;4,76% inkl. MwSt.;E;141;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-9527;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Wagnersteig;25;24416;Kiel;320.000,00;;1940;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;Auf Anfrage;;;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-5518;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Feldweg;66;55610;Mainz;2.260.000,00;247;530;;gewerbe;2019;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;Auf Anfrage;F;164;Monika Hartmann;+49 611 44019337;monika.hartmann@immobilien-agentur.de;IS-2024-1939;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Hauptsteig;24;76236;Karlsruhe;355.000,00;;1460;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;3,57% inkl. MwSt.;;;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-0288;;verfuegbar
Birkendamm;107;76945;Karlsruhe;1.320.000,00;244;870;5,5;haus;2017;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;3,57% inkl. MwSt.;A;42;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-5505;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verkauft
Rheindamm;45;89547;Ulm;1.160.000,00;680;1150;;gewerbe;1996;Werkstatt mit Hebebühne, Sozialräumen und separatem Büro.;Provisionsfrei;C;99;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-2351;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Kaiserstraße;94;01101;Dresden;700.000,00;140;;4;wohnung;1961;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;3,57% inkl. MwSt.;E;148;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-5015;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Brückenallee;72;86467;Augsburg;350.000,00;155;1040;5,5;haus;1971;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;3,57% inkl. MwSt.;B;56;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-5267;Eigentümer ist umzugsbedingt verhandlungsbereit.;verkauft
Brunnenring;45;20350;Hamburg;85.000,00;;440;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;Provisionsfrei;;;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-2093;;verkauft
Sternplatz;17;50868;Köln;935.000,00;724;1480;;gewerbe;1980;Atelier- und Showroom-Fläche in sanierter Industriehalle.;4,76% inkl. MwSt.;A;44;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-3680;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verkauft
Blumengasse;25;14300;Potsdam;520.000,00;101;;4,5;wohnung;2024;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;Provisionsfrei;G;215;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-2401;;verfuegbar
Flussring;44b;24356;Kiel;1.340.000,00;648;1820;;gewerbe;2000;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;Provisionsfrei;E;152;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-0584;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Kirchgasse;113;53138;Bonn;620.000,00;;2270;;grundstueck;;Baugrundstück mit genehmigter Bauvoranfrage für Doppelhaus.;3,57% inkl. MwSt.;;;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-0336;;verfuegbar
Neckarstraße;34;30171;Hannover;535.000,00;144;;4;wohnung;1976;Barrierefreie Erdgeschosswohnung mit Terrasse und eigenem Garten.;5,95% inkl. MwSt.;B;59;Ralf Zimmermann;+49 89 33877582;ralf.zimmermann@immobilien-service.de;IS-2024-1833;Energetische Sanierung geplant, Fördermittel beantragt.;verkauft
Blumenpfad;48c;89144;Ulm;605.000,00;48;;3,5;wohnung;1960;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;3,57% inkl. MwSt.;E;156;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-1299;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Königgasse;49;24594;Kiel;655.000,00;84;;3,5;wohnung;2007;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;5,95% inkl. MwSt.;G;230;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-1169;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Königweg;115;53887;Bonn;565.000,00;110;;1;wohnung;2014;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Auf Anfrage;H;298;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-1601;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Burgpfad;41;53448;Bonn;1.015.000,00;221;1120;7,5;haus;2005;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;Provisionsfrei;A;46;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-4377;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Eichenplatz;19c;89778;Ulm;270.000,00;52;;4,5;wohnung;2004;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;Provisionsfrei;C;91;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-1216;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Mühlenallee;20c;80671;München;720.000,00;28;;3;wohnung;1961;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;3,57% inkl. MwSt.;G;222;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-5302;Verkäufer möchte vor Verkauf noch die Küche erneuern.;reserviert
Schillerpfad;40;90297;Nürnberg;1.460.000,00;217;1010;7,5;haus;1966;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;Auf Anfrage;A+;16;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-1165;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Birkensteig;46a;86631;Augsburg;1.055.000,00;179;840;5;haus;1915;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;3,57% inkl. MwSt.;H;326;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-8224;;verfuegbar
Eichenring;85;23599;Lübeck;1.285.000,00;251;1070;8;haus;1917;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;2,38% inkl. MwSt.;D;130;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-4773;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Ahornring;66b;01249;Dresden;695.000,00;57;;1,5;wohnung;1987;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;3,57% inkl. MwSt.;F;196;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-7684;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Bahnhofplatz;39;01682;Dresden;355.000,00;130;;1,5;wohnung;2020;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;4,76% inkl. MwSt.;A;46;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-6162;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Dorfstraße;45;80605;München;415.000,00;172;640;5;haus;1927;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;3,57% inkl. MwSt.;H;344;Markus Schwarz;+49 89 83825881;markus.schwarz@immobilien-partner.de;IS-2024-9476;;verfuegbar
Sternplatz;91;93394;Regensburg;695.000,00;60;;1,5;wohnung;1959;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;3,57% inkl. MwSt.;B;71;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-6398;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verkauft
Mondstraße;55b;50490;Köln;965.000,00;251;1040;6,5;haus;1919;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;3,57% inkl. MwSt.;C;95;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-9382;;verfuegbar
Brunnensteig;70;50434;Köln;795.000,00;715;1330;;gewerbe;1970;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;Provisionsfrei;A;45;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-8636;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Wiesendamm;120;53954;Bonn;530.000,00;145;;3,5;wohnung;1998;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;3,57% inkl. MwSt.;G;208;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-9972;Garagenstellplatz separat zu erwerben (15.000 €).;verkauft
Schulallee;76;50958;Köln;345.000,00;120;800;4,5;haus;2007;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;3,57% inkl. MwSt.;F;186;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-9717;;reserviert
Teichplatz;83;45132;Essen;235.000,00;108;;1,5;wohnung;2018;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;Provisionsfrei;B;59;Ralf Zimmermann;+49 89 33877582;ralf.zimmermann@immobilien-service.de;IS-2024-6996;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Erlenstraße;30;60658;Frankfurt;895.000,00;91;1170;5;haus;1908;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;5,95% inkl. MwSt.;D;115;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-2889;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verkauft
Kirchpfad;90;40108;Düsseldorf;230.000,00;;630;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;3,57% inkl. MwSt.;;;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-7578;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Schlosspfad;2a;23972;Lübeck;560.000,00;59;;3;wohnung;1985;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;3,57% inkl. MwSt.;E;149;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-9279;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verkauft
Bergpfad;97;76643;Karlsruhe;535.000,00;;540;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;4,76% inkl. MwSt.;;;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-0430;WEG-Protokolle der letzten 3 Jahre angefordert.;verkauft
Klosterpfad;83;80541;München;665.000,00;;1170;;grundstueck;;Baugrundstück mit genehmigter Bauvoranfrage für Doppelhaus.;Auf Anfrage;;;Petra Krause;+49 89 53885162;petra.krause@immobilien-service.de;IS-2024-8946;;verfuegbar
Marktgasse;71a;86161;Augsburg;515.000,00;;1980;;grundstueck;;Hanggrundstück mit Fernblick, ideal für Architektenhaus.;3,57% inkl. MwSt.;;;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-5364;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;reserviert
Brunnenallee;48;55956;Mainz;365.000,00;141;990;4;haus;1935;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;Auf Anfrage;D;103;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-9947;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Schulpfad;24b;10942;Berlin;2.335.000,00;724;1430;;gewerbe;1983;Atelier- und Showroom-Fläche in sanierter Industriehalle.;3,57% inkl. MwSt.;D;129;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-5735;;verfuegbar
Ulmenplatz;71;20778;Hamburg;690.000,00;59;;1;wohnung;1987;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;3,57% inkl. MwSt.;H;286;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-6936;;verfuegbar
Bergweg;20;24389;Kiel;305.000,00;67;;4,5;wohnung;1958;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;Provisionsfrei;F;196;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-5380;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Neckarpfad;4;90217;Nürnberg;75.000,00;;440;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;5,95% inkl. MwSt.;;;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-8035;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Alsterweg;52;70687;Stuttgart;470.000,00;90;;2,5;wohnung;1965;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Provisionsfrei;A+;19;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-7564;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verfuegbar
Feldring;88;80323;München;570.000,00;116;;3;wohnung;1959;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;3,57% inkl. MwSt.;A+;18;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-1809;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Parkpfad;16;52746;Aachen;460.000,00;131;;2,5;wohnung;1972;Barrierefreie Erdgeschosswohnung mit Terrasse und eigenem Garten.;2,38% inkl. MwSt.;A+;24;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-9391;;verfuegbar
Kaisergasse;67;48220;Münster;915.000,00;171;540;7;haus;1912;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;2,38% inkl. MwSt.;F;173;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-6534;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Rosenpfad;98a;20415;Hamburg;685.000,00;71;;4;wohnung;2007;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;2,38% inkl. MwSt.;G;221;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-8539;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Teichsteig;33;18371;Rostock;590.000,00;71;;3,5;wohnung;1994;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;Provisionsfrei;E;136;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-0535;;verfuegbar
Ahornsteig;53;50468;Köln;330.000,00;101;;2;wohnung;1972;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;3,57% inkl. MwSt.;F;174;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-2395;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Ahornweg;55;10656;Berlin;1.455.000,00;125;1010;8;haus;2018;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;3,57% inkl. MwSt.;A+;25;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-9736;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Kastanienstraße;95;52113;Aachen;795.000,00;118;1180;4,5;haus;2018;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;2,38% inkl. MwSt.;G;236;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-8108;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;reserviert
Heidepfad;62;60357;Frankfurt;315.000,00;125;1170;6;haus;1941;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;4,76% inkl. MwSt.;G;240;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-4438;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Walddamm;95;23440;Lübeck;730.000,00;;1400;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;4,76% inkl. MwSt.;;;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-7629;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Feldallee;33;86787;Augsburg;1.090.000,00;625;130;;gewerbe;2008;Repräsentative Bürofläche in zentraler Lage mit guter ÖPNV-Anbindung.;Auf Anfrage;G;239;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-6694;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Kirchgasse;120a;48733;Münster;585.000,00;;630;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;2,38% inkl. MwSt.;;;Tobias Köhler;+49 341 21711603;tobias.koehler@immobilien-zentrale.de;IS-2024-3123;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Dorfpfad;49;68415;Mannheim;1.330.000,00;100;950;7,5;haus;2009;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;4,76% inkl. MwSt.;A+;17;Markus Schwarz;+49 89 83825881;markus.schwarz@immobilien-partner.de;IS-2024-9663;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Eichenpfad;93;60582;Frankfurt;750.000,00;97;680;6;haus;1920;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;G;243;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-1375;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Brückensteig;61;14172;Potsdam;1.045.000,00;92;1030;5,5;haus;1910;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;E;150;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-7037;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Königgasse;32;55691;Mainz;740.000,00;134;;4;wohnung;1970;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;5,95% inkl. MwSt.;F;198;Jürgen Becker;+49 89 88623195;juergen.becker@immobilien-zentrale.de;IS-2024-0570;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Feldsteig;35;90956;Nürnberg;540.000,00;99;;1,5;wohnung;1986;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Auf Anfrage;D;130;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-9965;;verfuegbar
Heidepfad;20;68297;Mannheim;460.000,00;286;1180;4;haus;1919;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;Provisionsfrei;A+;28;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-1901;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Goethesteig;56;76176;Karlsruhe;130.000,00;;770;;grundstueck;;Hanggrundstück mit Fernblick, ideal für Architektenhaus.;3,57% inkl. MwSt.;;;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-2285;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Donauplatz;78;52479;Aachen;1.030.000,00;204;850;8;haus;2016;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;2,38% inkl. MwSt.;B;55;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-1394;;verfuegbar
Bachallee;61;68355;Mannheim;560.000,00;47;;3,5;wohnung;2021;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;4,76% inkl. MwSt.;G;240;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-8029;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Heidestraße;107;10280;Berlin;1.270.000,00;162;900;5,5;haus;1984;Architektenhaus mit offenem Wohnkonzept und bodentiefen Fenstern.;Auf Anfrage;A+;10;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-9686;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Erlenring;39;89200;Ulm;165.000,00;139;;2;wohnung;2024;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;2,38% inkl. MwSt.;H;328;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-5710;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Sternstraße;81;10652;Berlin;120.000,00;47;;4,5;wohnung;1961;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;3,57% inkl. MwSt.;A+;30;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-5003;WEG-Protokolle der letzten 3 Jahre angefordert.;reserviert
Turmweg;114;55281;Mainz;155.000,00;62;;3,5;wohnung;1967;Helle 3,5-Zimmer-Wohnung mit Balkon in ruhiger Lage.;3,57% inkl. MwSt.;E;146;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-7786;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Bergallee;90;79333;Freiburg;140.000,00;106;;1,5;wohnung;1978;Helle 1,5-Zimmer-Wohnung mit Balkon in ruhiger Lage.;3,57% inkl. MwSt.;A+;13;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-1844;;verfuegbar
Donausteig;82;65257;Wiesbaden;525.000,00;77;;4,5;wohnung;1958;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;5,95% inkl. MwSt.;A;30;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-1534;;verfuegbar
Flussstraße;110;24617;Kiel;325.000,00;89;;3,5;wohnung;1968;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;3,57% inkl. MwSt.;C;87;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-2686;;verfuegbar
